Wavenumber,Intensity
2706.0473,89.414721
2709.7746,89.369396
2713.5019,89.329836
2717.2293,89.284772
2720.9566,89.258191
2724.6840,89.204617
2728.4113,89.104554
2732.1386,89.042527
2735.8660,89.010512
2739.5933,88.971674
2743.3206,88.948162
2747.0480,88.933333
2750.7753,88.868486
2754.5027,88.795105
2758.2300,88.745699
2761.9573,88.715552
2765.6847,88.667536
2769.4120,88.620049
2773.1394,88.551905
2776.8667,88.462451
2780.5940,88.408051
2784.3214,88.381973
2788.0487,88.347835
2791.7760,88.293355
2795.5034,88.229949
2799.2307,88.181312
2802.9581,88.119409
2806.6854,88.070927
2810.4127,88.013415
2814.1401,87.947467
2817.8674,87.894702
2821.5947,87.840901
2825.3221,87.797099
2829.0494,87.775920
2832.7768,87.729778
2836.5041,87.646659
2840.2314,87.566992
2843.9588,87.522906
2847.6861,87.499698
2851.4134,87.430949
2855.1408,87.328083
2858.8681,87.257941
2862.5955,87.213596
2866.3228,87.153940
2870.0501,87.085840
2873.7775,87.018674
2877.5048,86.939518
2881.2321,86.895925
2884.9595,86.831925
2888.6868,86.778794
2892.4142,86.728975
2896.1415,86.664256
2899.8688,86.610505
2903.5962,86.579476
2907.3235,86.544920
2911.0509,86.495860
2914.7782,86.441232
2918.5055,86.386745
2922.2329,86.288330
2925.9602,86.174690
2929.6875,86.081031
2933.4149,86.023140
2937.1422,85.975025
2940.8696,85.912652
2944.5969,85.819381
2948.3242,85.745280
2952.0516,85.699416
2955.7789,85.658048
2959.5062,85.607927
2963.2336,85.563761
2966.9609,85.478181
2970.6883,85.391460
2974.4156,85.336783
2978.1429,85.307896
2981.8703,85.256789
2985.5976,85.182033
2989.3249,85.118449
2993.0523,85.040412
2996.7796,84.985610
3000.5070,84.951329
3004.2343,84.892081
3007.9616,84.805833
3011.6890,84.739000
3015.4163,84.694691
3019.1436,84.637802
3022.8710,84.586794
3026.5983,84.566906
3030.3257,84.502087
3034.0530,84.361318
3037.7803,84.280253
3041.5077,84.253084
3045.2350,84.200201
3048.9624,84.168739
3052.6897,84.132295
3056.4170,84.071970
3060.1444,84.005930
3063.8717,83.937957
3067.5990,83.843928
3071.3264,83.781273
3075.0537,83.738989
3078.7811,83.665129
3082.5084,83.631349
3086.2357,83.629466
3089.9631,83.609438
3093.6904,83.536571
3097.4177,83.449757
3101.1451,83.364661
3104.8724,83.329920
3108.5998,83.319623
3112.3271,83.280334
3116.0544,83.170428
3119.7818,83.101965
3123.5091,83.077048
3127.2364,83.018661
3130.9638,82.984171
3134.6911,82.968551
3138.4185,82.899373
3142.1458,82.861347
3145.8731,82.826350
3149.6005,82.781946
3153.3278,82.749128
3157.0551,82.711234
3160.7825,82.682134
3164.5098,82.650490
3168.2372,82.579953
3171.9645,82.523426
3175.6918,82.466596
3179.4192,82.426883
3183.1465,82.415584
3186.8739,82.413907
3190.6012,82.382487
3194.3285,82.342786
3198.0559,82.306439
3201.7832,82.307533
3205.5105,82.304368
3209.2379,82.241669
3212.9652,82.186635
3216.6926,82.225835
3220.4199,82.210412
3224.1472,82.144376
3227.8746,82.146997
3231.6019,82.170462
3235.3292,82.151505
3239.0566,82.114930
3242.7839,82.084922
3246.5113,82.117451
3250.2386,82.124357
3253.9659,82.134842
3257.6933,82.149553
3261.4206,82.149705
3265.1479,82.176693
3268.8753,82.158057
3272.6026,82.170477
3276.3300,82.196968
3280.0573,82.158589
3283.7846,82.156644
3287.5120,82.156871
3291.2393,82.163741
3294.9666,82.185323
3298.6940,82.208130
3302.4213,82.167933
3306.1487,82.193492
3309.8760,82.236378
3313.6033,82.229017
3317.3307,82.254091
3321.0580,82.308016
3324.7854,82.293199
3328.5127,82.276076
3332.2400,82.284501
3335.9674,82.256861
3339.6947,82.229451
3343.4220,82.315481
3347.1494,82.399027
3350.8767,82.413999
3354.6041,82.445127
3358.3314,82.439447
3362.0587,82.431243
3365.7861,82.451731
3369.5134,82.461411
3373.2407,82.526120
3376.9681,82.570737
3380.6954,82.637607
3384.4228,82.683724
3388.1501,82.712501
3391.8774,82.757052
3395.6048,82.839380
3399.3321,82.884715
3403.0594,82.945018
3406.7868,83.056647
3410.5141,83.163935
3414.2415,83.212392
3417.9688,83.323404
3421.6961,83.401083
3425.4235,83.506999
3429.1508,83.614559
3432.8781,83.633658
3436.6055,83.761130
3440.3328,83.932072
3444.0602,84.049815
3447.7875,84.122380
3451.5148,84.161586
3455.2422,84.296695
3458.9695,84.436491
3462.6969,84.582834
3466.4242,84.724887
3470.1515,84.788399
3473.8789,84.897264
3477.6062,85.042655
3481.3335,85.212416
3485.0609,85.412991
3488.7882,85.495421
3492.5156,85.624947
3496.2429,85.784366
3499.9702,85.929812
3503.6976,86.039133
3507.4249,86.137163
3511.1522,86.273471
3514.8796,86.352926
3518.6069,86.576193
3522.3343,86.883264
3526.0616,86.942266
3529.7889,86.882464
3533.5163,86.942026
3537.2436,87.313977
3540.9709,87.596582
3544.6983,87.750852
3548.4256,87.809942
3552.1530,87.835860
3555.8803,87.994077
3559.6076,88.249110
3563.3350,88.534349
3567.0623,88.620840
3570.7896,88.284189
3574.5170,88.399213
3578.2443,88.933335
3581.9717,89.268194
3585.6990,89.495559
3589.4263,89.406450
3593.1537,89.297326
3596.8810,89.622423
3600.6084,89.786357
3604.3357,89.977236
3608.0630,90.318918
3611.7904,90.396147
3615.5177,90.236876
3619.2450,90.384507
3622.9724,90.582416
3626.6997,90.968345
3630.4271,91.161487
3634.1544,90.608349
3637.8817,90.997382
3641.6091,91.619888
3645.3364,92.010084
3649.0637,92.147062
3652.7911,91.265840
3656.5184,91.074539
3660.2458,91.677758
3663.9731,92.091884
3667.7004,92.601815
3671.4278,92.629717
3675.1551,92.046304
3678.8824,91.528509
3682.6098,91.659775
3686.3371,92.315115
3690.0645,92.495360
3693.7918,91.739366
3697.5191,91.720372
3701.2465,92.191776
3704.9738,92.288617
3708.7011,92.387808
3712.4285,92.383517
3716.1558,91.819229
3719.8832,92.089259
3723.6105,92.470116
3727.3378,92.378139
3731.0652,92.448333
3734.7925,92.583183
3738.5199,92.121878
3742.2472,92.138476
3745.9745,92.626141
3749.7019,92.074125
3753.4292,91.525337
3757.1565,91.415365
3760.8839,91.793690
3764.6112,91.947349
3768.3386,92.059335
3772.0659,91.968645
3775.7932,91.910428
3779.5206,92.137693
3783.2479,92.000902
3786.9752,91.897219
3790.7026,92.061168
3794.4299,92.334708
3798.1573,92.482855
3801.8846,92.238625
3805.6119,91.761507
3809.3393,91.659853
3813.0666,92.023927
3816.7939,92.436199
3820.5213,92.168492
3824.2486,91.526143
3827.9760,91.627502
3831.7033,92.161144
3835.4306,92.276698
3839.1580,91.917036
3842.8853,91.416123
3846.6126,91.590273
3850.3400,92.278245
3854.0673,92.440530
3857.7947,91.198418
3861.5220,91.318524
3865.2493,92.126981
3868.9767,91.940365
3872.7040,91.662208
3876.4314,91.492543
3880.1587,91.786496
3883.8860,91.843916
3887.6134,91.581413
3891.3407,91.567791
3895.0680,91.712896
3898.7954,91.903034
3902.5227,91.951362
3906.2501,91.193738
3909.9774,91.095920
3913.7047,91.688817
3917.4321,91.966374
3921.1594,91.737139
3924.8867,91.616055
3928.6141,91.614866
3932.3414,91.654483
3936.0688,91.547758
3939.7961,91.608645
3943.5234,91.736750
3947.2508,91.573504
3950.9781,91.505822
3954.7054,91.544054
3958.4328,91.624665
3962.1601,91.619130
3965.8875,91.549036
3969.6148,91.605022
3973.3421,91.601592
3977.0695,91.555630
3980.7968,91.569068
3984.5241,91.604987
3988.2515,91.586651
3991.9788,91.591947
3995.7062,91.541145
3999.4335,91.504274
